,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,"(450, 375, None, None)","(488.09, 373.186, None, None)","(517.638, 373.261, None, None)","(574.836, 373.663, None, None)","(622.502, 373.997, None, None)","(669.798, 347.24, None, None)","(719.584, 319.076, None, None)","(747.796, 303.116, None, None)","(771.984, 266.537, None, None)","(772.51, 265.741, None, None)","(788.912, 244.682, None, None)","(783.335, 221.761, None, None)","(789.066, 202.503, None, None)","(795.683, 187.709, None, None)","(808.657, 140.852, None, None)","(784.791, 99.167, None, None)","(770.936, 97.533, None, None)","(731.928, 95.059, None, None)","(704.331, 93.401, None, None)","(653.854, 84.676, None, None)","(599.369, 88.688, None, None)","(551.982, 95.849, None, None)","(496.689, 95.998, None, None)","(462.408, 97.637, None, None)","(405.278, 99.012, None, None)","(353.862, 97.532, None, None)","(296.7, 99.628, None, None)","(240.563, 89.719, None, None)","(184.584, 77.963, None, None)","(160.763, 68.392, None, None)","(147.666, 114.531, None, None)","(144.914, 136.283, None, None)","(135.953, 192.749, None, None)","(129.919, 249.63, None, None)","(123.886, 306.511, None, None)","(106.997, 360.536, None, None)","(68.27, 369.975, None, None)","(24.173, 362.031, None, None)"
1,"(260.535, 365.205, 8.654, 13.197)","(290.624, 362.688, 46.627, -13.759)","(324.363, 359.799, 30.384, 13.612)","(353.308, 355.75, 36.894, -16.669)","(384.183, 351.15, 38.782, -4.707)","(416.114, 347.117, 22.954, -21.344)","(446.32, 342.598, 27.057, 3.594)","(477.756, 335.724, 32.996, 10.29)","(507.774, 327.353, 20.297, -9.058)","(539.584, 322.691, 21.413, -17.136)","(570.417, 314.555, 29.877, 0.645)","(602.668, 305.359, 42.648, -0.012)","(630.978, 296.953, 21.946, -6.284)","(657.605, 288.379, 14.062, 4.188)","(684.261, 278.946, 29.871, -1.131)","(708.424, 271.574, 34.482, -17.503)","(730.771, 263.746, 28.921, -9.001)","(749.842, 257.262, 23.907, 5.469)","(763.655, 250.587, 8.62, -15.199)","(774.546, 246.641, 16.871, -10.5)","(785.839, 239.207, -0.058, 3.637)","(795.572, 226.182, -2.821, -31.257)","(806.719, 204.634, 16.558, -13.3)","(813.9, 177.218, -10.325, -20.596)","(813.56, 152.279, -7.788, -18.43)","(807.593, 125.879, -7.375, -18.414)","(804.873, 90.995, 2.643, -51.892)","(789.031, 72.919, -17.849, 2.393)","(765.571, 65.594, -25.646, -16.724)","(734.736, 60.631, -18.733, -5.221)","(705.212, 59.673, -43.936, 0.964)","(671.078, 59.019, -42.869, -15.709)","(632.685, 58.839, -43.074, -10.01)","(595.307, 60.855, -32.933, 11.365)","(557.115, 61.221, -30.897, -12.763)","(520.996, 63.285, -41.837, 0.106)","(482.747, 62.432, -32.225, -16.095)","(443.632, 62.646, -33.731, -6.616)"
2,"(555.987, 321.433, 23.618, -24.262)","(591.016, 306.625, 24.844, -27.764)","(627.3, 293.528, 32.404, -15.273)","(659.365, 281.781, 35.918, 2.869)","(692.603, 269.228, 31.721, -20.341)","(725.608, 256.651, 31.948, -26.17)","(755.165, 241.73, 24.306, -1.809)","(779.012, 219.726, 14.608, -45.253)","(794.993, 194.446, 5.704, -41.779)","(808.47, 144.728, 12.544, -34.9)","(805.925, 106.905, -10.069, -38.759)","(797.426, 80.195, -8.567, -26.577)","(768.374, 59.374, -40.303, -3.933)","(728.407, 57.684, -33.498, 7.189)","(682.968, 63.264, -23.758, 16.254)","(642.85, 63.515, -43.619, -5.717)","(601.64, 64.259, -43.474, 11.741)","(564.045, 64.482, -30.484, 9.0)","(523.417, 66.069, -49.486, 14.058)","(481.221, 67.842, -50.822, -14.117)","(441.032, 68.442, -33.786, 7.407)","(400.278, 69.156, -48.605, -16.454)","(362.172, 70.198, -24.986, -8.263)","(321.716, 68.861, -44.157, 4.072)","(283.405, 68.995, -31.086, -13.265)","(246.969, 70.105, -24.657, 6.54)","(211.47, 73.591, -49.121, 5.467)","(174.327, 69.077, -20.625, -3.74)","(127.841, 83.257, -54.636, 39.926)","(99.745, 112.7, -21.564, 18.57)","(79.652, 146.326, -20.154, 16.327)","(68.361, 178.416, -6.326, 49.693)","(63.798, 212.552, -10.944, 22.124)","(61.046, 248.157, -10.418, 44.426)","(59.809, 280.892, 2.887, 23.075)","(59.294, 311.27, -7.595, 13.69)","(60.146, 332.701, 4.072, 22.468)","(52.923, 359.448, -54.279, 27.114)"
3,"(415.666, 167.153, 19.007, -3.691)","(426.443, 166.001, 51.019, -2.867)","(429.322, 166.016, 27.682, -1.542)","(444.709, 166.023, 53.26, -16.566)","(474.451, 166.875, 19.599, -17.407)","(501.829, 166.85, 14.151, 8.037)","(530.32, 166.184, 41.709, 4.271)","(561.044, 167.635, 25.533, -8.947)","(587.816, 166.148, 29.983, 8.005)","(614.697, 167.599, 29.7, -13.667)","(638.267, 166.025, 40.611, -14.049)","(661.454, 166.637, 24.974, -9.564)","(684.636, 166.141, 33.869, 3.535)","(703.405, 166.032, 34.577, -0.82)","(724.123, 167.542, 23.19, -14.131)","(740.33, 166.638, 34.177, 5.644)","(755.352, 177.539, 23.042, 10.436)","(767.118, 182.336, 5.235, -23.665)","(777.76, 176.892, 11.099, -47.042)","(781.174, 139.071, -16.896, -49.701)","(781.506, 112.008, -0.211, -45.097)","(761.594, 84.924, -61.359, -38.887)","(723.868, 87.563, -11.479, -12.555)","(687.546, 84.199, -31.149, -8.768)","(652.179, 85.459, -38.138, 9.682)","(615.049, 91.588, -23.441, 6.254)","(579.166, 89.419, -37.545, -9.616)","(538.716, 91.693, -28.289, -5.248)","(503.433, 97.379, -47.832, -4.446)","(468.754, 99.911, -25.235, 12.55)","(431.941, 99.878, -40.398, -7.936)","(395.578, 99.217, -28.262, 15.064)","(356.715, 99.116, -53.575, -2.527)","(317.898, 98.582, -46.674, 15.681)","(279.963, 96.847, -35.848, -1.429)","(242.292, 95.388, -31.488, 5.314)","(206.651, 92.769, -59.708, -6.68)","(172.02, 93.092, -3.359, -14.417)"
4,"(458.367, 497.608, 28.805, 1.83)","(494.076, 507.854, 52.506, -0.335)","(533.428, 515.533, 23.03, 10.915)","(571.175, 522.901, 37.805, 5.622)","(604.918, 525.393, 39.448, 10.127)","(634.977, 524.342, 36.652, -7.389)","(664.129, 527.03, 46.197, 20.283)","(689.995, 527.544, 20.889, 3.938)","(713.319, 529.876, 43.566, 18.23)","(737.691, 534.355, 32.0, -22.396)","(764.874, 540.82, 30.029, 4.219)","(770.094, 555.425, 6.93, 17.994)","(775.013, 591.911, -14.778, 29.561)","(769.069, 621.637, -4.98, 34.205)","(760.807, 630.45, -9.59, -6.817)","(757.197, 629.657, 18.709, 4.728)","(758.464, 636.236, -3.519, 9.112)","(764.523, 640.81, 11.466, 8.94)","(764.722, 648.694, -16.0, 7.656)","(762.958, 661.106, -3.025, 34.59)","(753.619, 679.193, -32.678, 11.684)","(721.175, 688.355, -40.609, -7.557)","(679.211, 693.769, -52.751, 7.533)","(640.445, 692.668, -24.432, 2.316)","(600.247, 690.979, -61.871, 11.272)","(558.183, 692.852, -32.23, -10.882)","(519.706, 691.1, -53.265, -16.302)","(477.149, 690.404, -56.438, -8.993)","(440.117, 687.598, -32.097, -16.678)","(399.039, 685.926, -36.519, 2.241)","(360.808, 684.711, -39.008, 10.363)","(320.502, 683.847, -53.196, 3.275)","(282.445, 684.467, -19.826, 5.626)","(258.1, 683.949, 12.036, -6.762)","(246.18, 680.501, 0.208, -17.655)","(234.776, 671.041, -15.651, -3.094)","(230.936, 668.914, 13.448, -10.913)","(225.743, 669.112, 8.704, 14.493)"
5,"(322.572, 520.645, 41.596, -8.624)","(357.573, 523.925, 34.588, 17.04)","(394.722, 525.22, 27.352, -1.885)","(432.657, 526.527, 25.321, 1.726)","(470.412, 527.826, 48.0, 5.819)","(506.05, 528.992, 35.479, -7.066)","(535.701, 533.235, 33.899, -0.164)","(568.968, 535.361, 46.435, 4.914)","(600.444, 538.647, 31.398, 5.55)","(627.135, 536.542, 45.73, 12.461)","(654.744, 535.527, 40.544, -4.793)","(681.174, 537.892, 27.573, -4.876)","(702.163, 539.839, 23.871, 12.411)","(720.122, 540.28, 29.54, 2.626)","(733.9, 543.822, 3.967, -0.415)","(746.986, 544.646, 27.212, -2.872)","(762.545, 543.775, 22.533, -13.989)","(772.106, 562.088, 11.355, 25.421)","(781.455, 595.197, -19.951, 21.455)","(769.756, 620.222, -6.511, 46.589)","(781.013, 646.435, 9.172, 31.179)","(759.098, 658.03, -23.455, -1.202)","(724.002, 662.117, -42.216, 1.703)","(679.355, 669.059, -45.615, -0.416)","(639.532, 664.516, -54.584, 3.638)","(604.506, 663.004, -24.847, -1.632)","(558.883, 667.811, -22.415, 4.086)","(526.555, 657.396, -28.76, -20.727)","(493.761, 657.678, -50.914, 14.338)","(445.914, 654.274, -40.586, -3.523)","(413.825, 639.834, -30.176, -14.179)","(384.31, 636.088, -42.242, 4.181)","(353.757, 636.439, -42.243, 11.925)","(320.898, 636.264, -48.904, 6.378)","(304.83, 636.103, -10.074, -4.413)","(293.785, 636.018, -22.483, -1.696)","(288.022, 636.027, -21.998, 1.154)","(282.414, 636.059, -13.222, 1.139)"
6,"(536.627, 508.578, 29.222, -8.129)","(566.085, 509.073, 45.187, -6.884)","(593.757, 509.75, 24.704, 10.318)","(625.297, 516.319, 52.379, 18.049)","(656.845, 522.266, 50.042, -8.53)","(685.077, 528.863, 28.8, 9.004)","(710.734, 529.843, 20.498, -14.468)","(730.498, 530.402, 15.519, -8.371)","(750.057, 533.442, 6.286, -21.651)","(770.969, 542.185, 16.918, 15.892)","(776.515, 575.076, 9.317, 38.889)","(778.355, 619.841, -1.735, 48.658)","(791.168, 650.912, 13.479, 37.793)","(767.63, 680.283, -48.694, 33.902)","(719.134, 683.578, -38.601, -10.174)","(677.705, 685.615, -30.887, 4.772)","(637.141, 685.807, -27.544, -7.194)","(597.086, 687.107, -22.878, 1.753)","(555.092, 684.199, -45.879, -4.938)","(513.021, 684.082, -42.738, 12.112)","(472.576, 684.316, -42.267, -21.372)","(428.14, 678.438, -37.485, -5.269)","(386.155, 681.06, -41.737, -7.905)","(341.601, 679.678, -31.344, 0.565)","(304.173, 677.089, -28.688, 10.88)","(267.485, 673.689, -26.99, -12.64)","(230.661, 672.672, -26.382, 5.04)","(193.574, 677.03, -50.068, 20.105)","(151.928, 674.951, -73.259, -22.818)","(112.151, 642.395, -25.749, -36.278)","(87.781, 602.711, -19.871, -24.036)","(72.236, 565.308, -2.879, -27.895)","(61.005, 528.563, -7.477, -41.5)","(50.88, 494.125, -17.634, -32.472)","(46.011, 473.643, -3.983, -18.688)","(46.004, 462.611, 0.123, -43.404)","(46.108, 458.793, 5.009, -30.936)","(46.119, 453.316, -9.093, -8.259)"
7,"(484.23, 331.988, 26.149, -31.701)","(513.467, 313.289, 43.062, -32.8)","(543.653, 302.43, 23.035, -14.135)","(573.266, 296.655, 24.59, -11.209)","(606.039, 289.997, 43.486, -22.645)","(637.357, 285.195, 40.401, 7.802)","(669.022, 276.563, 17.071, -7.923)","(699.812, 269.757, 32.816, 5.685)","(726.058, 262.56, 8.537, -5.023)","(746.373, 256.981, 6.23, -19.476)","(765.696, 247.422, 14.077, 0.535)","(779.729, 249.731, 43.071, -13.817)","(801.573, 243.756, -0.215, -31.97)","(810.254, 229.72, 2.299, -20.42)","(814.863, 222.822, -2.413, -11.11)","(818.151, 214.976, 2.488, -12.041)","(811.108, 207.733, 3.581, -0.601)","(816.479, 189.488, 12.153, -38.646)","(818.918, 176.061, 22.578, 16.119)","(813.356, 168.278, -6.346, -22.796)","(811.621, 131.317, 5.789, -44.437)","(811.379, 98.546, -1.408, -26.625)","(809.18, 76.957, -11.851, -9.164)","(786.789, 60.359, -30.833, -18.772)","(747.029, 56.247, -20.523, 10.6)","(711.078, 55.583, -41.377, -12.779)","(677.577, 55.342, -19.926, 9.188)","(642.081, 56.453, -28.46, -2.787)","(601.449, 58.176, -34.426, 0.998)","(562.342, 60.41, -26.734, -1.295)","(518.463, 62.143, -37.414, -2.9)","(481.718, 62.495, -36.721, -10.56)","(443.909, 63.117, -45.805, 13.027)","(404.686, 64.143, -22.98, 10.228)","(367.126, 65.758, -36.172, 7.505)","(331.241, 66.241, -21.388, 15.11)","(294.251, 67.215, -39.379, 2.773)","(260.086, 68.095, -25.131, -6.151)"
8,"(604.215, 498.488, 48.273, 11.615)","(642.528, 512.138, 33.344, 18.45)","(680.687, 529.987, 47.985, 16.303)","(709.786, 541.035, 31.075, -3.616)","(741.263, 550.234, 29.207, 17.768)","(755.406, 554.155, 0.393, -6.869)","(769.943, 559.903, 16.086, -1.65)","(774.698, 576.845, -3.0, 53.915)","(772.094, 626.984, 5.994, 10.347)","(773.415, 642.191, -12.502, 17.138)","(766.503, 657.584, -20.528, 4.151)","(768.525, 674.103, 24.775, -11.224)","(730.259, 680.48, -56.804, -9.686)","(685.82, 677.326, -53.193, 14.939)","(641.998, 679.5, -46.15, -16.343)","(601.809, 674.434, -44.503, -8.263)","(555.547, 674.928, -57.51, -2.624)","(515.948, 672.13, -39.83, 16.698)","(466.736, 673.96, -54.228, -5.91)","(422.288, 666.427, -22.793, -21.315)","(383.756, 659.262, -44.485, -14.677)","(347.526, 655.95, -25.239, -16.304)","(311.234, 654.2, -43.132, -11.499)","(274.495, 649.256, -40.756, -8.493)","(241.544, 648.601, -20.766, -3.46)","(213.211, 654.399, -29.172, 1.237)","(188.08, 651.006, -27.079, -0.541)","(175.901, 651.002, -40.248, -10.78)","(165.323, 651.133, -30.376, 4.803)","(139.361, 653.511, -7.137, -29.499)","(129.68, 605.809, -13.0, -50.523)","(126.181, 561.98, 5.289, -39.964)","(120.6, 521.873, -21.796, -32.572)","(113.677, 484.767, 0.401, -21.026)","(107.86, 450.28, -20.493, -33.557)","(100.753, 420.756, -28.085, -33.319)","(92.352, 400.605, 0.931, -20.752)","(81.162, 390.473, -25.841, 6.975)"
9,"(290.311, 563.725, 13.583, -14.245)","(319.368, 562.113, 42.149, -19.721)","(350.58, 559.034, 41.023, 4.264)","(381.731, 557.134, 43.104, -14.745)","(413.112, 557.778, 47.114, 12.682)","(448.092, 558.166, 40.653, -5.863)","(482.799, 558.337, 32.775, 7.499)","(515.637, 560.255, 26.035, 0.567)","(545.489, 560.497, 21.602, -8.477)","(576.969, 560.669, 43.667, -2.657)","(606.183, 562.246, 27.659, -9.164)","(631.027, 565.547, 20.05, 16.216)","(650.677, 566.181, 6.066, 0.574)","(670.772, 567.351, 18.686, -2.639)","(686.998, 570.11, 5.134, 22.243)","(700.847, 575.498, 27.527, 12.03)","(715.273, 576.76, 6.938, 10.826)","(725.846, 576.932, 5.215, -7.334)","(732.228, 579.094, 0.084, 12.684)","(743.325, 575.107, 2.719, -14.494)","(751.089, 564.384, 28.564, -10.317)","(770.664, 558.306, 25.669, 3.209)","(765.138, 592.305, -4.651, 21.714)","(767.793, 616.305, 15.995, 26.55)","(776.887, 637.545, 0.68, 31.495)","(772.448, 653.64, -51.718, -11.456)","(739.631, 651.077, -18.896, -10.18)","(715.062, 661.555, -33.085, 2.481)","(684.885, 667.287, -28.489, 5.282)","(653.956, 670.829, -46.262, -13.82)","(620.723, 673.678, -27.636, 4.248)","(588.138, 676.725, -23.246, 2.689)","(551.999, 679.028, -53.832, -8.199)","(518.814, 680.64, -23.964, 17.735)","(483.816, 682.294, -21.975, 2.724)","(444.324, 683.826, -50.456, 13.53)","(406.976, 684.654, -28.648, 18.995)","(376.051, 685.846, -23.732, -9.429)"
10,"(597.0, 552.771, 43.569, 13.878)","(627.559, 569.081, 37.372, 7.312)","(653.913, 580.883, 25.316, 15.685)","(671.42, 583.994, 16.816, 3.118)","(679.387, 583.938, 37.173, 2.828)","(688.352, 583.955, 36.849, -2.425)","(689.398, 583.987, 25.822, -0.304)","(697.4, 583.865, 22.408, -2.181)","(704.249, 583.974, 33.107, 2.727)","(705.866, 583.995, 13.109, 1.225)","(709.189, 583.966, 37.304, -0.261)","(712.345, 583.993, 28.373, 1.173)","(727.153, 583.811, 27.479, 13.706)","(743.225, 582.124, 19.415, 2.594)","(754.972, 571.665, 24.127, -13.421)","(763.575, 559.77, 0.878, -31.989)","(780.413, 566.234, 27.612, 19.127)","(789.184, 601.984, -19.075, 55.307)","(783.751, 635.137, 2.268, 33.682)","(773.17, 654.135, -14.11, -5.666)","(728.809, 639.259, -10.973, 11.742)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(720.053, 636.006, -19.21, -2.49)","(719.535, 636.006, -31.044, -0.009)","(714.284, 636.016, -41.193, -0.966)","(703.39, 636.102, -47.21, -0.928)","(683.462, 636.21, -25.234, -0.67)","(670.607, 636.144, -44.504, 6.505)","(660.422, 636.035, -29.892, 0.847)","(651.272, 636.187, -23.151, -14.696)","(632.844, 636.498, -23.774, 10.059)","(611.946, 636.721, -18.087, 9.049)","(582.742, 638.051, -28.956, -10.032)"
11,"(450.968, 423.549, 30.219, 19.288)","(491.115, 436.985, 39.422, 21.736)","(527.703, 444.639, 48.751, 20.699)","(563.697, 450.368, 44.473, 15.278)","(595.207, 455.851, 13.741, 5.953)","(626.991, 459.297, 28.614, -7.405)","(656.151, 461.591, 27.256, 13.173)","(685.027, 464.989, 37.991, -11.437)","(713.105, 469.685, 35.092, 8.507)","(735.181, 478.999, 16.763, 21.702)","(755.173, 487.453, 33.839, 19.309)","(770.391, 494.462, 28.655, 16.026)","(782.968, 503.728, 3.206, 19.104)","(787.593, 518.392, 12.352, 15.648)","(794.284, 527.51, 10.381, -0.508)","(796.539, 543.932, -1.463, 34.73)","(811.297, 573.658, 5.13, 40.1)","(816.263, 615.521, 22.953, 50.71)","(821.117, 645.117, 11.048, 32.715)","(817.346, 665.958, -19.235, 9.168)","(803.184, 680.298, -15.222, 16.727)","(772.988, 690.79, -26.645, 16.096)","(732.027, 693.153, -50.326, 14.103)","(694.002, 691.436, -40.746, -16.582)","(655.054, 691.628, -50.052, 8.205)","(613.754, 690.692, -52.184, 8.253)","(575.693, 691.83, -36.531, -11.922)","(535.087, 689.337, -36.469, 3.913)","(494.55, 692.539, -27.27, -10.979)","(454.418, 689.069, -50.232, -16.172)","(413.235, 685.413, -57.855, 8.947)","(376.167, 683.229, -33.899, 8.75)","(339.224, 682.163, -37.569, -8.258)","(302.872, 682.641, -21.988, 7.984)","(274.439, 684.781, -5.547, -4.372)","(252.592, 687.034, -23.149, 8.848)","(239.843, 685.893, -11.835, 3.076)","(233.419, 686.64, -5.323, -13.027)"
12,"(578.526, 359.897, 19.981, -14.414)","(612.859, 352.868, 32.609, -8.504)","(645.715, 342.119, 46.194, -11.874)","(677.422, 329.882, 26.082, -3.668)","(708.941, 314.05, 21.502, -17.741)","(734.745, 298.935, 20.446, -27.161)","(762.138, 281.287, 19.895, -7.841)","(784.348, 259.283, 31.847, -16.968)","(801.942, 242.44, 6.801, -39.277)","(808.893, 228.644, 0.35, -0.637)","(814.324, 221.183, 8.551, -22.217)","(814.836, 210.958, 1.48, -15.583)","(814.966, 204.002, 11.17, -5.191)","(816.283, 202.601, 7.525, -8.969)","(811.698, 197.352, -28.07, 7.952)","(815.022, 177.818, 0.722, -12.578)","(816.41, 170.736, -3.397, -16.4)","(809.59, 147.208, -2.159, -54.606)","(811.632, 101.167, -5.676, -51.263)","(805.631, 74.193, -31.75, -36.543)","(784.046, 57.726, -32.76, -1.653)","(744.71, 52.444, -50.499, 6.851)","(703.928, 56.872, -39.175, -12.747)","(663.657, 58.787, -55.176, 3.42)","(623.051, 59.064, -42.648, -13.698)","(579.382, 58.103, -24.123, 14.569)","(537.834, 58.651, -45.035, 6.646)","(494.401, 60.119, -36.807, -9.797)","(453.217, 60.613, -46.905, -8.527)","(416.711, 61.278, -24.238, -13.295)","(380.521, 63.258, -47.86, -3.303)","(345.048, 63.566, -50.035, 3.002)","(308.267, 64.276, -40.66, 1.994)","(272.307, 64.267, -18.227, 9.469)","(233.477, 67.596, -47.403, 2.071)","(195.493, 63.917, -46.291, -12.71)","(157.336, 65.606, -57.991, 0.389)","(119.334, 81.552, -28.712, 40.725)"
13,"(384.052, 194.287, 18.755, 5.993)","(412.388, 194.888, 45.049, 22.165)","(450.314, 198.441, 45.516, 1.246)","(493.912, 200.336, 59.11, 15.43)","(538.351, 200.101, 56.143, 5.973)","(579.016, 192.593, 52.919, -14.082)","(614.281, 186.466, 26.308, 4.494)","(645.928, 186.001, 17.76, 27.885)","(681.988, 190.3, 30.645, -11.421)","(713.222, 183.036, 37.373, 5.077)","(735.17, 179.427, 8.725, -6.47)","(757.212, 183.129, 30.333, 11.589)","(770.545, 186.67, 27.682, -12.499)","(768.873, 149.331, 0.457, -66.498)","(763.65, 122.429, -11.571, -3.947)","(761.108, 108.582, -4.56, -29.987)","(759.389, 93.886, 8.789, -31.589)","(765.761, 78.794, -52.046, -8.959)","(721.382, 71.157, -33.344, 4.215)","(682.542, 67.557, -31.663, 1.384)","(637.629, 68.198, -45.996, -4.527)","(593.985, 65.321, -56.329, 8.249)","(547.048, 62.923, -47.032, 6.509)","(509.333, 62.737, -39.028, 9.925)","(463.809, 64.923, -32.341, 3.334)","(418.414, 66.682, -31.981, -5.258)","(374.832, 67.027, -47.99, -14.351)","(333.249, 64.396, -30.727, -5.536)","(292.15, 62.407, -39.402, -14.035)","(253.15, 63.516, -35.021, 7.433)","(221.003, 66.376, -19.097, 21.15)","(187.825, 63.748, -42.641, 9.974)","(145.779, 69.018, -59.48, 11.079)","(102.838, 97.63, -19.107, 26.723)","(77.38, 129.853, -31.51, 39.369)","(65.393, 168.171, -5.319, 34.804)","(62.127, 207.942, -4.16, 53.037)","(61.195, 249.395, 19.39, 19.402)"
14,"(572.64, 470.089, 22.646, 27.116)","(607.261, 480.935, 30.567, -6.57)","(643.805, 496.288, 30.79, 34.446)","(673.214, 509.947, 12.137, 18.861)","(701.497, 521.252, 19.262, 12.668)","(726.451, 528.237, 27.183, -1.189)","(746.525, 532.238, 24.392, -9.118)","(766.874, 537.914, 33.983, 16.843)","(779.444, 553.247, 39.709, -6.293)","(792.339, 572.323, 16.354, 41.673)","(806.417, 622.274, 4.909, 34.974)","(798.033, 653.531, -2.319, 38.487)","(768.609, 669.394, -34.926, 12.343)","(713.556, 665.932, -41.57, -18.62)","(681.961, 649.106, -36.368, 2.911)","(655.201, 651.366, -64.283, 28.788)","(603.892, 646.454, -19.149, -23.451)","(568.432, 653.293, -83.288, -8.905)","(522.449, 645.97, -41.236, -19.356)","(486.213, 654.037, -58.219, -2.923)","(438.639, 641.796, -52.769, -3.512)","(402.679, 636.099, -47.84, 2.922)","(388.409, 636.021, -35.986, -13.319)","(364.924, 636.279, -55.52, -1.564)","(330.864, 636.12, -39.847, 2.825)","(293.724, 636.331, -34.838, 2.444)","(256.925, 638.963, -50.142, 12.887)","(225.15, 645.222, -12.514, 21.094)","(202.394, 653.608, -51.9, -11.987)","(185.406, 651.019, -28.99, -2.095)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)","(183.107, 651.052, -48.144, 1.801)"
15,"(325.676, 432.681, 22.32, 0.684)","(362.937, 442.334, 30.337, 8.678)","(401.495, 446.316, 23.286, 0.847)","(438.212, 450.53, 26.267, 9.763)","(470.447, 455.243, 49.66, -4.563)","(504.738, 460.949, 47.426, -7.444)","(539.216, 468.939, 24.577, 6.095)","(573.564, 478.342, 31.476, 14.296)","(605.054, 484.466, 23.824, 7.713)","(637.887, 492.037, 31.074, -5.931)","(666.992, 497.401, 12.705, 16.962)","(690.331, 501.083, 15.573, 11.682)","(707.873, 503.101, 12.663, 15.948)","(726.143, 507.666, 26.158, -1.385)","(744.005, 517.908, -4.422, 10.259)","(756.831, 519.153, 40.983, 7.117)","(776.041, 526.527, -5.1, -0.345)","(783.401, 533.446, 6.058, 11.554)","(793.005, 559.284, -11.866, 5.877)","(800.395, 590.758, -4.826, 17.165)","(805.849, 617.58, 0.009, 24.269)","(809.105, 642.871, -2.52, 40.817)","(804.413, 664.404, -28.282, 23.062)","(784.84, 680.004, -24.11, 16.947)","(753.13, 687.519, -26.147, 4.023)","(721.364, 690.502, -33.275, 19.35)","(687.904, 691.291, -16.321, -13.575)","(651.336, 690.199, -16.912, -15.348)","(615.25, 690.721, -46.983, -9.324)","(581.35, 690.864, -31.045, -12.226)","(540.659, 691.051, -38.965, 3.799)","(503.152, 689.671, -39.205, -5.69)","(461.497, 687.275, -46.061, -8.875)","(421.588, 684.952, -45.602, 3.695)","(381.951, 685.323, -33.553, 10.091)","(345.811, 684.112, -30.045, 11.953)","(314.286, 684.698, -19.746, 12.132)","(288.927, 681.527, -21.053, 0.854)"
16,"(578.363, 219.056, 51.881, -11.902)","(618.133, 204.638, 36.278, 0.618)","(656.859, 196.607, 48.455, 0.516)","(700.775, 191.763, 43.343, 11.22)","(736.612, 185.821, 19.819, -1.414)","(764.633, 184.215, 17.908, 16.915)","(772.606, 157.092, 1.464, -47.841)","(770.885, 120.62, -14.533, -3.222)","(774.472, 102.275, -7.612, -40.402)","(755.56, 88.151, -51.66, 15.865)","(702.02, 102.102, -53.701, 28.777)","(654.553, 110.759, -41.158, 5.941)","(620.186, 113.912, -29.992, 9.14)","(598.521, 113.934, -62.673, -3.582)","(567.893, 113.846, -49.869, -2.092)","(531.622, 101.355, -48.375, -17.093)","(489.749, 98.398, -31.901, -0.81)","(451.84, 95.168, -28.103, -12.246)","(411.392, 95.867, -47.705, 13.774)","(372.184, 95.477, -36.044, -6.441)","(334.113, 95.721, -24.811, -11.389)","(296.663, 93.713, -51.878, -6.764)","(261.023, 91.901, -31.358, 2.43)","(226.35, 88.37, -43.747, 2.741)","(188.341, 87.717, -28.501, 10.848)","(149.454, 77.978, -49.404, -16.454)","(120.685, 109.434, -9.684, 33.45)","(108.475, 146.453, -2.511, 34.8)","(105.442, 185.76, 9.715, 25.43)","(105.906, 226.299, -12.001, 39.64)","(105.339, 262.223, -17.802, 39.033)","(100.966, 299.314, -9.063, 52.512)","(94.225, 333.428, -11.188, 23.56)","(83.341, 362.724, -8.061, 24.449)","(36.201, 375.706, -80.75, -5.041)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
