,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,"(450, 375, None, None)","(450, 375, None, None)","(495.472, 385.699, None, None)","(551.151, 398.8, None, None)","(585.487, 406.879, None, None)","(608.736, 395.834, None, None)","(660.403, 371.289, None, None)","(712.069, 346.744, None, None)","(752.171, 306.122, None, None)","(777.927, 255.148, None, None)","(779.756, 241.927, None, None)","(784.979, 204.153, None, None)","(788.754, 162.276, None, None)","(756.015, 157.29, None, None)","(779.23, 146.172, None, None)","(768.024, 125.722, None, None)","(768.024, 125.722, None, None)","(778.561, 105.413, None, None)","(737.388, 104.225, None, None)","(712.544, 84.476, None, None)","(659.165, 85.405, None, None)","(620.435, 65.22, None, None)","(563.33, 68.519, None, None)","(520.772, 73.772, None, None)","(464.087, 80.716, None, None)","(437.481, 79.408, None, None)","(388.927, 81.951, None, None)","(343.05, 69.014, None, None)","(291.882, 74.692, None, None)","(236.547, 71.492, None, None)","(180.916, 84.752, None, None)","(156.745, 99.632, None, None)","(156.745, 99.632, None, None)","(154.512, 101.366, None, None)","(105.845, 131.421, None, None)","(97.65, 181.109, None, None)","(101.891, 218.047, None, None)","(86.288, 255.693, None, None)","(63.979, 302.223, None, None)","(55.647, 343.429, None, None)"
1,"(687.583, 349.325, 69.422, -67.372)","(705.899, 330.907, -26.779, -17.278)","(729.025, 312.594, -22.829, -28.08)","(753.734, 291.592, 55.077, -65.38)","(771.16, 274.897, 4.592, -10.504)","(786.865, 253.247, 22.573, -32.201)","(801.003, 225.564, 18.098, -67.34)","(814.707, 198.212, 46.573, -27.538)","(832.967, 167.359, -13.942, -35.945)","(831.944, 166.071, 31.625, 3.971)","(831.944, 166.071, 31.625, 3.971)","(834.89, 166.089, 45.026, -29.95)","(835.012, 166.347, -17.596, 19.762)","(834.164, 166.183, 7.452, 2.061)","(834.1, 166.224, 11.547, 0.822)","(834.909, 166.187, -39.3, -12.122)","(833.626, 166.16, 52.373, 3.169)","(833.998, 166.392, 28.488, 12.819)","(834.405, 166.146, 30.503, 5.904)","(832.976, 166.032, -25.785, 0.821)","(832.987, 166.104, -24.718, 4.305)","(831.539, 166.081, -38.206, 1.879)","(832.605, 166.301, -9.38, -10.33)","(832.158, 166.257, -17.167, 6.227)","(831.038, 166.297, 7.984, 8.765)","(831.354, 166.096, 20.055, -5.376)","(832.575, 166.245, 30.98, -7.169)","(832.567, 166.155, -23.878, 3.39)","(828.998, 166.073, -45.93, -16.341)","(827.431, 165.469, -18.295, -26.197)","(822.271, 145.391, 14.79, -47.704)","(807.208, 112.174, -40.248, -64.044)","(797.094, 81.591, -38.466, -61.077)","(762.22, 60.468, -68.946, 22.034)","(716.722, 57.304, -15.693, -50.947)","(673.048, 56.927, -5.125, -9.066)","(628.132, 59.397, -23.103, 22.89)","(584.205, 66.088, -68.856, -11.402)","(541.97, 73.074, -35.049, -13.195)","(497.69, 75.836, -88.356, -34.195)"
2,"(770.671, 214.437, 79.361, -51.509)","(790.407, 172.157, 8.845, -40.3)","(793.935, 122.082, -45.641, -7.679)","(765.002, 89.715, -94.066, -50.537)","(716.408, 78.764, -55.932, 31.837)","(662.319, 81.0, -71.055, 0.214)","(618.846, 83.578, -0.735, -12.941)","(574.342, 79.629, -79.351, 7.661)","(530.923, 77.774, -26.319, -29.116)","(483.689, 73.486, -12.014, -3.895)","(435.189, 80.669, -9.868, 8.593)","(381.945, 80.958, -25.908, -20.167)","(332.545, 77.571, -55.383, 47.645)","(286.515, 77.276, -13.334, -35.564)","(239.757, 79.068, -104.281, 37.457)","(194.383, 82.003, -0.31, 10.502)","(148.577, 77.517, -75.744, -17.506)","(121.626, 117.519, 22.789, 96.52)","(104.661, 159.941, 31.396, 33.272)","(99.067, 205.6, 38.605, -9.971)","(88.864, 245.411, 15.217, 1.768)","(87.575, 296.701, 20.143, 80.535)","(75.047, 342.413, -19.896, -13.424)","(58.195, 361.855, 14.767, 34.12)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(505.995, 367.516, -19.282, -8.725)","(538.277, 361.086, 50.054, -29.126)","(564.602, 350.072, 60.876, -1.525)","(596.865, 333.672, 53.622, -10.082)","(632.167, 312.45, 5.265, 17.698)","(667.316, 289.873, 13.527, -38.442)","(692.989, 276.219, 2.972, 44.117)","(723.319, 265.277, -22.545, -16.274)","(748.912, 255.891, 18.354, 1.807)","(766.709, 234.82, -33.184, -4.601)","(790.058, 198.484, 48.611, -17.348)","(798.832, 166.337, -13.01, -45.081)","(807.051, 126.42, 57.775, -27.617)","(802.471, 88.415, -48.97, -35.104)","(785.093, 65.695, -5.488, 4.326)","(753.078, 54.885, -38.706, 18.948)","(713.745, 56.936, 0.79, 47.578)","(662.123, 61.951, 3.022, -27.161)","(618.08, 69.162, -57.49, 41.955)","(571.921, 68.925, -16.223, 33.637)","(522.484, 68.048, -110.466, -14.88)","(477.051, 68.985, -38.202, 34.183)","(434.699, 71.428, -72.165, 19.363)","(391.397, 74.987, -63.174, 15.278)","(351.937, 76.942, -39.348, -39.193)","(305.987, 75.499, -96.19, 11.681)","(262.557, 68.584, -64.407, -33.461)","(218.398, 70.911, -64.487, 55.114)","(164.412, 71.615, -101.667, -10.528)","(118.975, 99.825, -2.006, 78.112)","(95.959, 144.094, -56.16, 92.244)","(93.756, 185.134, 9.472, -3.398)","(82.152, 223.563, 19.221, 29.334)","(73.182, 261.456, -34.25, 37.345)","(71.695, 298.991, -11.066, 8.112)","(72.793, 326.933, 41.551, 24.503)","(72.14, 350.189, 34.581, -22.135)","(32.982, 371.202, -45.918, 9.022)","(None, None, None, None)","(None, None, None, None)"
4,"(297.269, 488.973, 31.185, 10.919)","(335.738, 489.107, 70.101, -1.192)","(375.568, 492.077, 89.924, 1.667)","(406.837, 488.739, 49.29, 20.905)","(446.588, 492.214, 40.375, 19.153)","(475.547, 490.607, -4.117, -48.826)","(511.771, 489.856, 63.522, -19.052)","(545.696, 488.304, -3.522, -28.032)","(577.142, 493.654, 1.451, -9.477)","(607.708, 495.473, -16.674, 27.805)","(634.717, 506.348, 61.955, 15.143)","(671.279, 514.804, 19.939, 20.77)","(703.016, 518.016, 47.226, 65.138)","(737.501, 534.441, 17.474, -45.327)","(771.516, 550.298, 2.715, 67.081)","(778.569, 578.338, -24.346, -21.272)","(775.792, 620.177, 31.159, 39.088)","(773.298, 633.523, 22.981, -6.752)","(765.283, 658.124, -49.545, 54.75)","(722.677, 657.804, -60.303, 32.807)","(690.605, 658.941, -26.448, -29.405)","(648.669, 659.766, -17.184, -50.731)","(611.647, 657.743, -3.613, -17.629)","(575.628, 663.217, -17.805, -32.142)","(536.961, 658.497, 4.75, -14.962)","(511.346, 654.095, -11.598, -45.468)","(472.002, 661.502, -29.58, 67.19)","(424.347, 658.091, 9.841, -33.408)","(380.543, 657.956, -21.153, -52.109)","(347.031, 656.39, -1.915, 5.05)","(303.88, 651.642, -21.433, 43.107)","(258.114, 651.264, -59.947, 40.877)","(222.477, 652.816, -17.237, 20.569)","(187.886, 658.367, -74.841, 18.989)","(145.206, 662.828, -32.676, -37.148)","(126.539, 622.572, 18.51, -23.453)","(120.02, 579.563, 38.781, -27.808)","(110.062, 538.437, -35.045, -3.873)","(105.354, 503.513, -11.495, 10.053)","(102.857, 461.341, -33.009, -68.352)"
5,"(701.667, 200.282, 5.805, -51.186)","(742.575, 187.284, 7.267, -3.502)","(771.518, 184.144, 1.247, -2.049)","(782.18, 161.859, 23.274, -102.199)","(777.484, 118.804, 7.069, 8.622)","(770.904, 89.605, -11.033, -38.152)","(722.07, 88.154, -21.291, -13.748)","(679.802, 88.762, -5.776, 42.17)","(632.092, 90.652, -104.549, 7.994)","(592.89, 83.278, -88.261, -7.203)","(546.771, 83.572, 2.984, -44.337)","(505.978, 77.745, -76.756, 31.026)","(460.224, 80.817, -11.18, 1.616)","(413.192, 78.248, 1.413, -16.21)","(369.906, 79.18, -22.18, 4.749)","(322.969, 77.504, 0.943, 32.932)","(270.59, 78.378, -33.259, 5.137)","(225.833, 78.421, -80.322, -30.845)","(179.828, 81.712, -82.167, -24.117)","(138.528, 85.937, -24.712, 0.82)","(108.567, 126.922, 30.991, -4.619)","(104.521, 170.766, 30.086, 72.417)","(103.693, 218.178, 27.85, 52.025)","(98.423, 260.978, -55.732, 26.712)","(89.281, 304.063, -55.249, 47.637)","(80.839, 336.003, -44.562, -10.861)","(74.486, 365.778, -68.677, 56.681)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(754.089, 285.978, 35.687, 14.268)","(785.811, 246.192, -17.448, -90.279)","(804.806, 211.599, 48.305, -55.631)","(822.04, 186.739, -12.722, 16.006)","(822.084, 148.1, 32.932, -66.547)","(810.974, 119.953, -29.512, -18.017)","(793.37, 76.161, 18.491, 27.222)","(755.992, 65.301, 6.735, -33.999)","(709.997, 66.793, -46.224, -4.51)","(666.237, 62.568, -21.92, -9.365)","(619.478, 64.48, -22.718, 24.056)","(574.904, 66.758, -10.825, -42.119)","(535.718, 63.065, -21.081, -10.249)","(492.032, 64.484, -88.688, -39.837)","(449.703, 65.782, -77.656, 27.495)","(408.754, 69.618, -19.728, 32.189)","(370.612, 75.873, -36.15, 49.223)","(324.577, 79.127, -68.257, 44.466)","(278.979, 79.992, -7.834, -34.795)","(236.042, 77.937, -11.498, 12.426)","(189.108, 74.048, -24.414, -20.13)","(148.081, 77.56, -74.981, 42.071)","(121.352, 116.512, 17.907, 11.149)","(109.069, 163.674, -34.995, -10.959)","(97.156, 204.956, -48.146, 88.795)","(90.571, 238.823, -7.23, 20.459)","(90.382, 277.97, -37.936, 82.21)","(85.719, 317.651, -47.096, 77.464)","(82.694, 350.178, -7.019, 67.894)","(44.974, 367.886, -22.305, -7.036)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(589.391, 502.1, -2.484, 20.375)","(628.494, 507.666, 12.89, -3.219)","(658.796, 514.012, 73.009, 13.639)","(692.355, 530.985, 46.954, 29.494)","(717.413, 530.028, -23.568, -0.578)","(741.602, 523.829, 82.656, -14.068)","(761.078, 524.668, 37.896, 57.657)","(778.717, 542.208, -7.367, 9.895)","(785.232, 584.657, -5.886, 12.485)","(783.631, 625.712, -5.089, 71.321)","(779.7, 653.613, 9.922, 47.129)","(738.41, 680.316, -30.706, 5.135)","(688.715, 674.798, -49.692, -26.427)","(646.965, 665.512, -95.006, -22.253)","(605.676, 654.871, -31.464, -42.359)","(572.649, 650.697, 6.604, -17.157)","(535.093, 643.644, -27.374, 5.432)","(495.532, 639.251, -63.102, -12.004)","(458.526, 642.314, -65.507, 31.97)","(414.732, 637.095, -52.285, -28.043)","(378.346, 637.127, -53.947, 2.773)","(339.546, 640.917, 4.373, -18.482)","(296.472, 643.238, -52.161, 12.872)","(258.799, 648.95, -82.135, -37.417)","(226.618, 659.322, -86.637, -6.902)","(190.062, 662.829, -51.528, -23.63)","(144.605, 664.049, 24.6, 6.506)","(124.822, 625.02, -14.142, 11.965)","(105.497, 584.999, 35.637, -45.353)","(99.068, 541.461, -3.404, -33.866)","(89.842, 501.843, -26.149, 0.989)","(87.535, 465.834, -16.379, 6.333)","(79.902, 429.971, -41.376, -38.145)","(78.301, 396.935, 28.761, 3.943)","(39.593, 377.739, -58.131, -30.339)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
8,"(461.968, 491.859, 34.364, -12.888)","(508.467, 508.272, 78.765, 35.491)","(545.107, 508.344, 80.301, -46.935)","(578.741, 513.0, 3.892, -25.628)","(617.162, 522.417, 90.824, 48.631)","(655.044, 531.649, 70.575, 27.88)","(683.465, 530.738, 64.858, -13.468)","(710.789, 535.246, 27.547, -22.663)","(733.022, 539.999, -36.928, 52.918)","(755.461, 549.175, -8.11, 54.312)","(766.928, 559.717, -53.514, 75.039)","(768.491, 588.642, 17.201, -5.464)","(779.771, 614.348, -8.793, 59.082)","(792.555, 633.979, 13.916, 35.233)","(790.752, 649.383, -63.543, -44.75)","(758.63, 658.165, -95.659, -24.644)","(717.699, 656.448, -42.32, -13.966)","(685.401, 659.84, -44.239, -13.544)","(635.814, 657.069, -62.88, 37.409)","(603.18, 660.92, -54.52, 42.742)","(552.963, 650.379, -29.825, -65.981)","(508.566, 644.182, -12.148, 17.35)","(475.977, 655.991, -84.271, -0.908)","(425.315, 647.449, -19.782, -63.394)","(385.468, 642.229, 10.571, -61.263)","(353.339, 637.76, 5.121, -3.833)","(313.831, 637.314, -17.36, 37.349)","(279.662, 636.336, -16.999, -44.546)","(242.508, 643.008, 2.829, 12.536)","(208.974, 655.041, 1.746, -21.425)","(171.464, 651.309, -64.082, -41.698)","(132.142, 643.984, -67.705, -79.139)","(118.036, 599.451, -32.544, -12.635)","(108.619, 556.195, -28.941, -57.543)","(106.407, 512.063, 15.765, 7.908)","(107.679, 472.583, -5.831, -39.073)","(100.023, 433.247, -52.815, -38.609)","(91.495, 406.655, -35.963, -17.788)","(81.535, 384.401, 8.978, -32.362)","(41.076, 381.003, -44.05, -15.06)"
9,"(251.348, 532.538, 15.08, -4.695)","(284.194, 535.136, 53.582, 16.794)","(321.462, 538.35, 0.104, 28.288)","(348.525, 531.71, 17.74, -47.247)","(378.891, 540.301, 59.596, -11.3)","(407.7, 544.047, -0.607, 31.894)","(439.428, 543.155, 76.27, 23.921)","(472.832, 542.479, 21.251, 15.265)","(499.49, 540.395, 38.645, 25.56)","(526.128, 537.74, -22.307, 38.765)","(556.006, 538.668, 12.005, -28.724)","(583.454, 532.075, 32.318, -26.525)","(611.725, 523.287, 90.122, -48.363)","(652.97, 518.055, 29.497, 26.172)","(685.596, 525.276, 46.618, 32.392)","(708.602, 522.57, 26.364, -1.765)","(728.396, 521.624, 27.185, 48.98)","(746.978, 523.562, 52.261, -50.031)","(764.375, 528.05, -30.042, 33.528)","(775.667, 534.731, -50.015, -15.394)","(773.204, 548.353, 38.445, 23.75)","(779.134, 576.106, -1.765, 48.205)","(781.934, 612.691, 2.936, 32.407)","(783.694, 632.453, 29.673, -10.294)","(790.736, 653.139, -24.415, 61.576)","(753.124, 656.058, -24.59, 29.856)","(717.824, 656.453, -12.615, -48.973)","(692.8, 660.364, -11.578, -4.148)","(643.004, 663.014, -8.51, 6.804)","(598.406, 657.892, -55.487, 15.463)","(561.528, 648.963, -10.491, 45.142)","(541.06, 656.239, -58.729, 3.811)","(509.433, 666.828, -69.928, 7.508)","(464.221, 675.155, -2.713, 60.183)","(422.388, 671.501, -21.244, 30.935)","(382.726, 667.914, -62.353, -57.985)","(346.838, 666.102, -22.396, 35.971)","(312.567, 661.425, -29.493, 11.638)","(264.724, 659.512, -42.992, -32.311)","(224.142, 662.262, -84.016, 50.297)"
10,"(337.236, 328.658, -18.204, -6.445)","(369.408, 329.051, 29.267, -8.431)","(405.886, 327.08, 14.921, -29.071)","(444.744, 325.828, 80.25, -36.486)","(484.146, 327.119, 72.806, 39.612)","(518.527, 317.559, -10.386, -25.892)","(552.812, 308.802, 58.263, -17.576)","(583.124, 305.095, 5.278, 6.186)","(620.639, 288.764, -13.887, -45.921)","(642.399, 272.313, 85.668, -16.126)","(663.034, 263.294, -10.22, -61.68)","(687.399, 255.976, -26.619, -57.85)","(716.617, 236.512, 27.085, -2.581)","(743.979, 223.045, 8.783, -64.575)","(771.088, 207.246, 54.84, -51.768)","(776.602, 177.059, 27.47, -40.858)","(790.317, 150.932, 51.988, -31.651)","(802.505, 115.742, -34.674, -32.934)","(796.722, 88.063, -16.802, -4.949)","(758.055, 81.227, -76.84, 47.247)","(712.507, 83.898, -42.913, 4.717)","(662.307, 83.088, -61.268, -12.659)","(615.902, 84.294, -80.97, -32.205)","(572.585, 94.683, -27.075, 20.808)","(537.641, 97.033, 10.558, 21.978)","(494.788, 101.704, -55.925, 45.233)","(456.247, 101.445, 11.903, -8.279)","(423.533, 99.391, -32.603, -6.637)","(381.515, 97.798, 8.557, -50.22)","(344.471, 97.542, -79.438, -3.506)","(308.063, 94.07, -1.581, 36.657)","(266.906, 93.446, -52.426, -18.028)","(230.62, 92.071, -20.78, -8.146)","(201.537, 94.027, -0.006, 45.965)","(169.136, 88.8, 10.566, -2.06)","(135.203, 92.086, -75.726, 33.093)","(120.137, 135.606, -33.034, 40.884)","(124.664, 182.892, 48.489, 1.756)","(120.576, 234.87, -24.496, 41.851)","(119.525, 277.649, -35.77, 63.748)"
11,"(787.398, 536.786, -11.953, 71.776)","(805.521, 588.855, 12.761, 31.142)","(800.451, 650.755, -16.121, 103.881)","(759.184, 666.994, -27.108, 49.024)","(713.448, 670.51, -30.076, 9.185)","(665.838, 670.233, -26.477, -34.58)","(619.241, 661.672, -8.9, 2.541)","(566.491, 663.875, -57.017, -26.638)","(521.105, 658.027, -55.951, -47.006)","(474.202, 654.19, -94.13, 20.13)","(431.958, 647.21, -29.793, 6.646)","(381.063, 651.548, -14.79, 53.442)","(341.304, 653.878, -80.447, -33.184)","(294.699, 654.734, -87.863, 10.452)","(250.222, 664.046, -5.352, 11.952)","(200.363, 665.15, -98.14, 28.004)","(156.757, 664.032, -23.011, 23.85)","(133.265, 623.858, -41.683, -63.686)","(120.508, 578.533, -46.664, -33.164)","(99.142, 537.011, -39.629, -11.116)","(87.988, 494.429, -60.195, -39.939)","(82.203, 451.887, -28.429, -84.817)","(69.484, 409.67, -56.124, -13.464)","(41.772, 388.665, -32.525, 33.596)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
12,"(458.698, 430.004, -17.739, -28.635)","(492.103, 428.933, 85.172, -42.405)","(532.032, 441.371, 72.618, -17.241)","(573.284, 454.099, 14.795, 3.445)","(606.74, 464.584, 48.114, -10.564)","(635.97, 468.648, 41.999, -47.028)","(667.741, 471.419, -20.571, 63.451)","(689.582, 485.575, -15.661, 45.602)","(716.951, 489.886, 21.586, -36.998)","(733.889, 497.762, -30.464, -27.956)","(750.162, 506.501, 33.198, -49.771)","(768.404, 522.443, 3.592, 52.841)","(781.837, 546.132, -10.891, 21.826)","(786.805, 584.768, 48.22, 1.706)","(796.694, 626.195, 72.582, 21.605)","(800.317, 659.731, 25.538, 56.716)","(766.265, 681.076, -30.334, 59.417)","(726.924, 688.243, -28.896, -16.555)","(680.929, 690.937, -85.076, -16.82)","(640.507, 690.679, -63.199, -21.082)","(597.333, 689.993, -33.416, -57.26)","(555.754, 686.613, -104.614, 9.863)","(519.482, 686.239, -49.244, -54.231)","(472.259, 683.848, -87.819, -7.377)","(431.672, 683.258, 4.439, 9.374)","(387.576, 676.06, -30.029, 13.896)","(342.73, 676.895, -67.247, -58.335)","(303.834, 678.542, -60.922, -47.501)","(260.857, 676.347, -16.968, -11.646)","(227.331, 676.246, -27.567, -36.451)","(191.392, 676.901, -45.939, -7.489)","(156.101, 670.672, -82.816, -36.392)","(119.683, 644.322, -1.114, -28.591)","(97.734, 598.926, -44.349, -1.184)","(80.997, 559.099, 14.321, -73.506)","(62.515, 521.075, 5.555, -17.067)","(51.161, 487.51, 6.95, -82.764)","(46.294, 458.603, -17.029, -19.86)","(46.506, 441.953, -6.529, -31.735)","(54.576, 426.093, 28.001, 9.874)"
13,"(743.937, 485.873, -11.242, 64.927)","(773.568, 510.514, 48.903, 12.875)","(789.269, 523.019, 33.687, 27.135)","(793.426, 545.743, -23.298, 31.825)","(806.772, 587.058, 47.979, 35.723)","(809.162, 635.36, 44.768, -0.854)","(772.43, 668.859, -108.827, 55.831)","(710.93, 681.922, -10.027, -7.241)","(658.972, 677.701, -106.356, -24.745)","(610.107, 675.326, -97.111, -37.419)","(562.075, 686.161, -44.188, -33.254)","(516.738, 685.211, -40.308, -13.846)","(462.784, 682.555, -88.449, -11.287)","(416.601, 682.31, -53.893, 13.993)","(373.346, 681.576, -36.451, 15.57)","(325.212, 682.918, -89.366, -22.692)","(282.967, 677.274, -78.171, 1.964)","(237.341, 678.668, -18.071, 7.964)","(188.986, 672.297, -44.813, 5.061)","(139.598, 657.479, -12.568, -54.942)","(115.623, 617.985, -43.36, 6.775)","(95.485, 569.213, 2.322, -56.317)","(77.125, 529.187, 21.261, -16.421)","(64.677, 483.739, 38.708, -92.169)","(56.005, 436.464, -50.38, -22.424)","(62.93, 409.207, 13.112, -57.644)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
14,"(714.977, 514.002, 88.227, 46.521)","(747.604, 529.731, 12.683, 56.99)","(772.877, 548.54, 3.173, 2.711)","(783.747, 575.469, -12.931, 22.897)","(793.035, 623.47, -9.768, 72.883)","(766.847, 658.729, -2.278, -14.69)","(714.558, 661.073, -71.98, -26.324)","(673.39, 646.633, -59.746, -19.245)","(635.278, 641.487, 5.529, 33.645)","(592.547, 637.309, -60.999, 17.148)","(550.913, 637.758, -29.714, 3.295)","(507.517, 636.59, -79.481, 18.319)","(464.118, 636.475, 2.494, -24.869)","(423.256, 636.271, -19.011, 9.063)","(380.314, 636.326, -60.572, 9.833)","(334.03, 638.559, -66.55, -5.77)","(292.676, 638.368, -59.828, -31.04)","(253.121, 642.181, 12.654, 11.134)","(218.559, 656.293, -28.14, 14.445)","(184.998, 655.938, 8.911, 7.577)","(141.212, 654.827, -82.683, -93.275)","(127.129, 607.078, -20.223, -38.526)","(118.468, 563.477, -19.838, 0.212)","(111.454, 517.213, -55.033, -94.817)","(99.54, 476.548, 9.873, -55.441)","(88.717, 435.864, -11.035, -83.985)","(80.202, 402.38, 37.626, -14.247)","(52.209, 386.385, -64.796, -0.991)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
15,"(411.785, 322.904, 63.314, 16.562)","(454.492, 304.825, 92.198, 38.302)","(494.717, 287.887, 74.652, -26.985)","(524.091, 276.558, 88.14, -57.18)","(549.758, 265.356, 56.524, -47.931)","(591.142, 253.409, 12.631, -9.247)","(622.148, 239.202, 95.299, 49.28)","(660.041, 229.854, 33.049, -47.181)","(686.529, 227.835, 22.642, -34.457)","(714.802, 223.743, 56.579, 28.33)","(746.482, 214.386, 21.858, -77.741)","(764.978, 213.141, 0.105, -66.438)","(789.317, 201.411, -3.033, -39.454)","(802.039, 166.072, -39.618, -13.246)","(810.455, 124.657, -37.834, -46.494)","(810.053, 85.19, -49.598, -28.135)","(786.627, 58.772, -78.269, -27.811)","(746.055, 58.218, -79.445, 43.545)","(707.645, 52.828, -43.753, -48.632)","(651.392, 54.583, -89.927, 13.693)","(608.034, 58.394, -58.263, -6.343)","(560.511, 63.393, -34.403, -34.473)","(521.621, 59.539, -17.825, -41.447)","(485.042, 57.979, -41.405, -2.707)","(445.331, 59.266, -34.777, -63.458)","(393.667, 55.957, -4.71, 4.905)","(341.879, 58.152, -16.602, -22.703)","(295.052, 63.421, -100.011, -49.913)","(248.582, 60.475, -86.61, -29.238)","(211.1, 72.98, -45.632, -52.385)","(171.874, 64.725, -67.682, 42.108)","(136.863, 72.427, -0.982, 10.097)","(104.056, 104.87, 1.046, 58.625)","(91.436, 149.065, -49.037, 71.149)","(81.447, 193.556, 10.378, 49.981)","(71.951, 234.913, -41.076, 89.285)","(70.547, 273.547, 20.019, -8.748)","(72.649, 316.195, 42.213, 58.439)","(65.828, 354.221, -2.92, 66.117)","(None, None, None, None)"
16,"(638.198, 484.809, 75.569, -13.136)","(671.419, 504.247, 26.593, 47.276)","(699.901, 513.052, 77.515, 0.257)","(728.331, 530.975, 57.722, 54.516)","(752.845, 545.666, -9.738, -58.287)","(773.127, 567.939, 56.508, 72.398)","(763.69, 615.164, -17.896, 33.216)","(768.14, 639.714, 27.697, 30.184)","(769.435, 668.15, 54.61, 30.431)","(729.913, 685.333, -88.853, -45.376)","(675.626, 681.866, -25.4, 15.003)","(626.8, 682.029, -77.215, 28.045)","(579.93, 679.067, -55.795, 43.322)","(534.103, 680.649, -62.515, -31.573)","(492.363, 675.191, -5.621, 7.698)","(457.002, 678.947, -8.885, 12.18)","(407.095, 676.69, -57.507, 47.596)","(363.057, 680.597, -4.972, 28.451)","(317.515, 677.008, -44.521, 15.716)","(272.775, 677.738, -92.143, -2.106)","(226.84, 676.316, -68.497, -25.035)","(184.355, 676.093, -67.418, -32.699)","(137.314, 656.912, -56.31, -81.613)","(107.49, 619.741, 11.208, -44.746)","(83.732, 571.906, -19.304, -81.249)","(70.597, 523.934, -1.435, 1.54)","(54.08, 483.209, -68.247, 2.225)","(47.931, 450.504, 42.421, -48.288)","(51.514, 426.067, 38.032, -0.903)","(60.858, 398.616, 45.477, -5.496)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
17,"(686.18, 522.998, 74.043, -20.01)","(706.558, 531.491, 56.729, 68.383)","(731.062, 542.066, -11.824, -30.225)","(755.221, 544.427, 55.128, -25.283)","(777.984, 560.675, 16.466, 30.766)","(791.29, 594.272, 27.21, 6.099)","(798.058, 641.787, 38.023, -3.734)","(780.294, 656.608, -66.333, -24.804)","(732.814, 677.444, -19.294, -52.708)","(685.994, 683.241, -59.173, -55.653)","(636.301, 676.663, -34.771, 17.799)","(589.434, 681.039, -60.506, -7.69)","(541.488, 684.771, -43.294, 21.362)","(486.157, 681.705, -95.267, -50.813)","(449.071, 680.387, -52.127, -28.738)","(400.251, 678.751, -7.22, 30.454)","(351.545, 681.157, -79.738, 51.078)","(299.304, 674.525, -100.435, 37.024)","(255.321, 674.429, -61.037, -51.158)","(220.577, 674.944, -2.622, -4.113)","(177.003, 672.81, -49.069, -64.381)","(138.121, 654.492, -70.138, -32.439)","(121.272, 615.667, -1.867, -41.097)","(112.315, 568.683, -46.089, -26.621)","(110.162, 518.924, -21.196, -35.382)","(99.815, 480.114, -47.414, -40.766)","(90.751, 445.4, 28.918, -0.285)","(78.126, 410.086, -43.877, -59.285)","(58.817, 384.635, -60.515, 28.65)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
